country,bank_account,location_type,cellphone_access,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,household_size_binned
Kenya,No,Rural,Yes,35,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,34,Female,Head of Household,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,24,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,32,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,24,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,Yes,Urban,Yes,46,Female,Spouse,Married/Living together,Tertiary education,Self employed,size btw 4 and 6
Kenya,No,Rural,No,34,Female,Head of Household,Married/Living together,No formal education,Other Income,size btw 7 and 10
Kenya,Yes,Rural,Yes,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,No,62,Female,Head of Household,Divorced/Seperated,Primary education,Formally employed Private,size 3 or below
Kenya,No,Urban,No,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,30,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,No,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,Yes,33,Female,Spouse,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Rural,Yes,27,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,Yes,Urban,Yes,56,Male,Head of Household,Married/Living together,Primary education,Other Income,size btw 7 and 10
Kenya,No,Rural,Yes,32,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,Yes,40,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,34,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,25,Male,Other relative,Single/Never Married,Primary education,Self employed,size 3 or below
Kenya,No,Urban,Yes,33,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,67,Female,Head of Household,Widowed,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Female,Child,Single/Never Married,Tertiary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,67,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,38,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,34,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,75,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,Yes,Urban,Yes,32,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,54,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,Yes,Rural,Yes,56,Female,Head of Household,Widowed,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,30,Female,Spouse,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,Yes,Rural,No,70,Female,Head of Household,Widowed,No formal education,Other Income,size 3 or below
Kenya,Yes,Rural,Yes,18,Male,Child,Single/Never Married,Tertiary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,No,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,29,Female,Other relative,Single/Never Married,Secondary education,Self employed,size 3 or below
Kenya,Yes,Urban,Yes,22,Female,Head of Household,Married/Living together,Primary education,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,Yes,23,Female,Spouse,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,21,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed,size 3 or below
Kenya,Yes,Rural,No,46,Female,Head of Household,Widowed,Primary education,Government Dependent,size 3 or below
Kenya,Yes,Rural,Yes,58,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,66,Female,Head of Household,Widowed,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,34,Female,Spouse,Married/Living together,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,32,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Urban,Yes,20,Male,Other relative,Single/Never Married,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,20,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,53,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,62,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,No,25,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,35,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Urban,Yes,24,Female,Other relative,Single/Never Married,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,38,Female,Head of Household,Married/Living together,Primary education,Self employed,size 3 or below
Kenya,Yes,Rural,Yes,53,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,Yes,Urban,Yes,32,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed,size 3 or below
Kenya,No,Urban,No,84,Female,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,43,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,64,Female,Head of Household,Widowed,Primary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,49,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size btw 4 and 6
Kenya,No,Rural,Yes,39,Male,Child,Single/Never Married,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,No,18,Male,Child,Single/Never Married,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,43,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,18,Male,Child,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,35,Male,Child,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,64,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,62,Male,Head of Household,Married/Living together,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Rural,Yes,59,Male,Spouse,Married/Living together,No formal education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,38,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,Yes,Rural,Yes,35,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government,size 3 or below
Kenya,Yes,Urban,Yes,24,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,31,Male,Head of Household,Married/Living together,Secondary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,42,Female,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,size btw 4 and 6
Kenya,No,Rural,No,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,35,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private,size 3 or below
Kenya,Yes,Rural,Yes,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Urban,No,22,Female,Other relative,Divorced/Seperated,Secondary education,Formally employed Private,size btw 4 and 6
Kenya,No,Rural,No,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,No,90,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,38,Female,Other relative,Widowed,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Rural,Yes,32,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,20,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,42,Female,Head of Household,Widowed,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,43,Male,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,20,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,70,Male,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,Yes,Rural,Yes,28,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed,size 3 or below
Kenya,Yes,Urban,Yes,55,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,Yes,40,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,33,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private,size btw 4 and 6
Kenya,No,Rural,No,74,Male,Head of Household,Widowed,No formal education,Government Dependent,size 3 or below
Kenya,Yes,Urban,Yes,52,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,size 3 or below
Kenya,No,Urban,Yes,34,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,No,20,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,31,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,37,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,57,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,55,Male,Head of Household,Married/Living together,No formal education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,30,Female,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,44,Male,Head of Household,Single/Never Married,Secondary education,Self employed,size btw 4 and 6
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,Yes,Urban,Yes,49,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,33,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed,size btw 4 and 6
Kenya,No,Rural,Yes,21,Female,Child,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,35,Male,Child,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Urban,Yes,17,Male,Other relative,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,35,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,No,35,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,No,31,Male,Child,Single/Never Married,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,39,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,55,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,48,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,21,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,25,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,25,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,42,Female,Spouse,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,Yes,Urban,Yes,62,Female,Head of Household,Widowed,Secondary education,Other Income,size 3 or below
Kenya,No,Rural,No,18,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,70,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,Yes,55,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,26,Female,Spouse,Married/Living together,Tertiary education,Formally employed Government,size 3 or below
Kenya,Yes,Urban,Yes,25,Male,Head of Household,Single/Never Married,Tertiary education,Other Income,size 3 or below
Kenya,No,Rural,Yes,27,Male,Child,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Rural,Yes,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,49,Female,Spouse,Single/Never Married,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,40,Female,Other relative,Single/Never Married,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,65,Male,Head of Household,Married/Living together,No formal education,Other Income,size 3 or below
Kenya,No,Rural,Yes,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,18,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,89,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,21,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,44,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,22,Male,Child,Single/Never Married,Secondary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,25,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,size 3 or below
Kenya,Yes,Urban,Yes,44,Female,Head of Household,Widowed,Secondary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Private,size 3 or below
Kenya,No,Rural,No,79,Female,Head of Household,Widowed,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Rural,Yes,60,Male,Spouse,Married/Living together,No formal education,Self employed,size btw 7 and 10
Kenya,No,Rural,No,31,Male,Child,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,Yes,Urban,Yes,40,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,54,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,49,Female,Head of Household,Widowed,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,No,17,Male,Child,Single/Never Married,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,No,52,Female,Head of Household,Widowed,No formal education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,35,Male,Other relative,Divorced/Seperated,Primary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,54,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent,size btw 7 and 10
Kenya,Yes,Urban,Yes,50,Female,Head of Household,Married/Living together,Tertiary education,Other Income,size 3 or below
Kenya,No,Rural,No,23,Male,Head of Household,Married/Living together,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,34,Male,Head of Household,Married/Living together,Primary education,Self employed,size btw 4 and 6
Kenya,No,Rural,No,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,57,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,size 3 or below
Kenya,No,Urban,No,45,Female,Head of Household,Widowed,No formal education,Self employed,size btw 4 and 6
Kenya,No,Rural,No,38,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,43,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,Yes,54,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed,size 3 or below
Kenya,No,Rural,No,18,Male,Child,Single/Never Married,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,Yes,27,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,size btw 4 and 6
Kenya,No,Urban,Yes,83,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,89,Female,Head of Household,Widowed,No formal education,Remittance Dependent,size 3 or below
Kenya,No,Urban,No,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,55,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,39,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private,size 3 or below
Kenya,No,Urban,Yes,36,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Urban,Yes,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,65,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing,size 3 or below
Kenya,Yes,Urban,Yes,32,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,size 3 or below
Kenya,Yes,Rural,Yes,54,Female,Head of Household,Widowed,Primary education,Remittance Dependent,size 3 or below
Kenya,Yes,Urban,Yes,38,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government,size 3 or below
Kenya,No,Rural,Yes,22,Female,Head of Household,Single/Never Married,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Rural,Yes,48,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,Yes,17,Male,Child,Single/Never Married,Secondary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,28,Male,Child,Married/Living together,Secondary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,No,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,28,Male,Spouse,Married/Living together,Vocational/Specialised training,Informally employed,size 3 or below
Kenya,No,Urban,Yes,69,Male,Spouse,Married/Living together,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,Yes,Urban,Yes,38,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,Yes,34,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,size 3 or below
Kenya,No,Rural,No,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,52,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Rural,Yes,20,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,No,80,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,80,Female,Parent,Widowed,Primary education,Government Dependent,size btw 7 and 10
Kenya,No,Rural,Yes,32,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,35,Female,Spouse,Married/Living together,Primary education,Informally employed,size btw 7 and 10
Kenya,Yes,Urban,Yes,28,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,32,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent,size btw 7 and 10
Kenya,Yes,Rural,Yes,42,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,size 3 or below
Kenya,Yes,Urban,Yes,36,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,size btw 4 and 6
Kenya,Yes,Urban,Yes,23,Male,Head of Household,Single/Never Married,Tertiary education,Self employed,size 3 or below
Kenya,No,Rural,Yes,45,Female,Head of Household,Widowed,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,No,17,Female,Child,Single/Never Married,Primary education,Farming and Fishing,size btw 7 and 10
Kenya,No,Urban,No,70,Male,Head of Household,Married/Living together,No formal education,Informally employed,size 3 or below
Kenya,No,Rural,No,78,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,52,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,31,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,57,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,30,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,26,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,Yes,Rural,Yes,57,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent,size 3 or below
Kenya,No,Urban,No,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,60,Female,Spouse,Married/Living together,No formal education,Self employed,size 3 or below
Kenya,No,Urban,Yes,24,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,size 3 or below
Kenya,No,Rural,No,20,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Urban,Yes,20,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size btw 4 and 6
Kenya,No,Urban,Yes,21,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private,size 3 or below
Kenya,No,Urban,No,17,Male,Parent,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,No,73,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,47,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,45,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,size 3 or below
Kenya,No,Rural,Yes,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,Yes,Urban,Yes,26,Male,Head of Household,Single/Never Married,Tertiary education,Self employed,size 3 or below
Kenya,No,Rural,No,30,Female,Head of Household,Married/Living together,Primary education,Informally employed,size btw 4 and 6
Kenya,No,Urban,Yes,58,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,size 3 or below
Kenya,No,Rural,No,50,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,28,Male,Child,Single/Never Married,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Rural,Yes,46,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,size btw 4 and 6
Kenya,Yes,Rural,No,82,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size 3 or below
Kenya,No,Urban,Yes,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,size btw 4 and 6
Kenya,Yes,Rural,Yes,40,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,81,Female,Head of Household,Widowed,No formal education,Government Dependent,size btw 4 and 6
Kenya,No,Rural,Yes,30,Male,Parent,Single/Never Married,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,24,Male,Child,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Urban,Yes,30,Female,Head of Household,Single/Never Married,Secondary education,Self employed,size btw 4 and 6
Kenya,Yes,Rural,Yes,45,Male,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,18,Female,Child,Single/Never Married,Primary education,Informally employed,size btw 7 and 10
Kenya,No,Rural,Yes,30,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,size btw 4 and 6
Kenya,No,Rural,Yes,33,Female,Head of Household,Married/Living together,Primary education,Self employed,size 3 or below
Kenya,Yes,Rural,Yes,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,size 3 or below
Kenya,Yes,Rural,Yes,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,size btw 4 and 6
Kenya,No,Urban,Yes,45,Male,Head of Household,Married/Living together,Primary education,Self employed,size 3 or below
Kenya,Yes,Rural,Yes,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,size btw 4 and 6
Kenya,No,Urban,Yes,26,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,size 3 or below
Kenya,Yes,Rural,Yes,37,Male,Head of Household,Married/Living together,Secondary education,Self employed,size 3 or below
Kenya,Yes,Urban,Yes,26,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,size 3 or below
Kenya,No,Rural,Yes,22,Female,Child,Single/Never Married,Primary education,Self employed,size btw 7 and 10
Kenya,No,Urban,Yes,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,size btw 7 and 10
Kenya,No,Rural,Yes,30,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,size btw 7 and 10
